,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018*,2019.0,2020.0,2021.0,2022*
Южно-Казахстанская,3091.8333333333335,3639.8333333333335,4339.0,5018.0,5918.0,8950.0,11201.0,13128.833333333334,13847.083333333334,15419.75,18640.833333333332,20479.166666666668,22629.333333333332,24293.333333333332,26491.0,29324.166666666668,32452.0,-,-,-,-,-
Павлодарская,5624.25,5387.416666666667,6985.0,7988.0,9918.0,14922.0,16897.0,20228.166666666668,21216.0,26169.083333333332,27212.0,31232.666666666668,35052.166666666664,36235.916666666664,37616.0,40544.833333333336,46759.333333333336,52410.0,56949.666666666664,64734.333333333336,76988.0,85524.5
Северо-Казахстанская,5628.666666666667,5551.75,6440.0,6841.0,8285.0,10688.0,13064.0,16615.083333333332,19883.75,24083.0,25421.833333333332,29877.333333333332,30170.833333333332,33835.916666666664,36032.0,41346.583333333336,47240.333333333336,55779.0,59051.416666666664,66407.16666666667,76606.0,88905.25
Туркестанская,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31417.0,34384.166666666664,38484.166666666664,45737.0,56350.416666666664
Ұлытау,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88613.75
Восточно-Казахстанская,5479.666666666667,6173.75,6835.0,7824.0,9432.0,14061.0,15541.0,18341.5,20399.5,21836.0,26912.083333333332,32398.916666666668,34866.583333333336,37076.5,40593.0,44740.416666666664,52347.833333333336,58920.0,62853.833333333336,67682.58333333333,77080.0,97411.66666666667
г. Астана,10669.166666666666,12706.416666666666,14963.0,15973.0,19412.0,27747.0,30984.0,38308.666666666664,34010.083333333336,45835.083333333336,39875.416666666664,41010.583333333336,44014.333333333336,46450.416666666664,48887.0,53067.583333333336,59400.0,62359.0,65546.0,67706.08333333333,81822.0,92671.91666666667
г. Алматы,8860.583333333334,10270.916666666666,11439.0,11993.0,13361.0,18250.0,23195.0,26686.166666666668,30116.833333333332,40826.5,45997.0,49375.333333333336,53579.75,58212.583333333336,60882.0,64382.666666666664,70515.33333333333,77338.0,86281.0,85872.41666666667,93896.0,105837.58333333333
г.Шымкент,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48210.0,45904.833333333336,45683.166666666664,48311.0,57873.75
,,,,,,,,,,,,,,,,,,,,,,
2018* По Туркестанской и город Шымкент приведены оценочные данные. ,,,,,,,,,,,,,,,,,,,,,,
"2022* По Алматинской, Карагандинской, Восточно-Казахстанской, областям и Абай, Жетісу, Ұлытау приведены оценочные данные. ",,,,,,,,,,,,,,,,,,,,,,
